


 
Abilene Christian,28,13,15,.464,9,5,4,7,2133,1992
Air Force,30,14,16,.467,10,8,4,8,2011,2005
Akron,29,20,9,.690,14,1,5,5,2118,1881
Alabama,29,25,4,.862,14,0,9,2,2417,2004
Alabama A&M,29,13,16,.448,9,8,4,7,2043,2078
Alabama State,29,8,21,.276,5,5,2,16,1862,2117
Albany (NY),30,8,22,.267,5,6,2,15,2025,2253
Alcorn State,27,15,12,.556,6,2,8,9,1828,1925
American,29,15,14,.517,7,6,8,8,1901,1916
Appalachian State,31,16,15,.516,10,7,6,7,2187,1999
Arizona,29,24,5,.828,15,2,5,3,2417,2066
Arizona State,29,20,9,.690,10,5,7,4,2066,1948
Arkansas,29,19,10,.655,14,2,2,7,2183,1921
Arkansas State,31,12,19,.387,10,8,2,11,2024,2100
Arkansas-Pine Bluff,29,10,19,.345,8,3,2,16,1953,2032
Army,31,16,15,.516,9,5,7,7,2267,2162
Auburn,29,19,10,.655,13,2,4,7,2090,1910
Austin Peay,31,9,22,.290,7,8,1,13,2067,2241
Ball State,29,20,9,.690,12,1,6,6,2211,2028
Baylor,29,21,8,.724,14,2,4,5,2265,2029
Bellarmine,31,14,17,.452,8,6,6,11,2055,2066
Belmont,31,21,10,.677,12,2,7,7,2356,2205
Bethune-Cookman,30,12,18,.400,7,4,4,13,2015,2236
Binghamton,28,12,16,.429,8,6,4,10,1942,2003
Boise State,29,22,7,.759,13,1,5,5,2096,1829
Boston College,29,14,15,.483,9,6,3,7,1920,2028
Boston University,31,15,16,.484,9,4,6,10,2078,2080
Bowling Green State,29,10,19,.345,6,9,4,10,2209,2274
Bradley,31,23,8,.742,15,1,8,5,2217,1901
Brigham Young,31,17,14,.548,12,4,2,7,2344,2166
Brown,26,14,12,.538,7,4,7,8,1803,1788
Bryant,28,17,11,.607,9,4,7,6,2257,2060
Bucknell,31,12,19,.387,7,7,3,12,2102,2128
Buffalo,29,13,16,.448,10,4,2,9,2251,2246
Butler,29,14,15,.483,10,5,3,8,1903,1948
Cal Poly,30,7,23,.233,6,10,1,13,1792,1969
Cal State Bakersfield,29,10,19,.345,6,8,3,10,1788,1883
Cal State Fullerton,30,18,12,.600,11,2,7,8,2076,1936
Cal State Northridge,30,7,23,.233,7,7,0,14,1926,2062
California,29,3,26,.103,3,14,0,10,1697,2021
California Baptist,29,15,14,.517,11,5,4,7,2012,1879
Campbell,30,13,17,.433,8,6,4,10,2080,2050
Canisius,28,9,19,.321,6,7,3,12,1964,2034
Central Arkansas,31,9,22,.290,6,8,2,13,2261,2527
Central Connecticut State,31,10,21,.323,6,7,4,13,2042,2162
Central Florida,28,16,12,.571,10,6,4,5,2020,1845
Central Michigan,29,10,19,.345,6,7,3,11,1908,2083
Charleston Southern,29,9,20,.310,6,8,3,12,2113,2160
Charlotte,29,18,11,.621,11,3,5,7,1906,1771
Chattanooga,31,15,16,.484,9,7,6,9,2372,2219
Chicago State,29,11,18,.379,8,0,3,18,2043,2052
Cincinnati,30,19,11,.633,14,3,4,6,2319,2087
Clemson,29,21,8,.724,14,1,5,5,2196,1982
Cleveland State,31,19,12,.613,12,3,7,9,2208,2101
Coastal Carolina,30,11,19,.367,8,8,3,11,2204,2208
Colgate,31,23,8,.742,11,2,11,4,2410,2137
College of Charleston,31,28,3,.903,17,1,11,2,2533,2108
Colorado,30,15,15,.500,11,4,2,9,2099,1995
Colorado State,29,13,16,.448,8,7,4,7,2125,2079
Columbia,28,7,21,.250,6,9,1,12,1893,2110
Connecticut,29,22,7,.759,14,2,5,5,2289,1892
Coppin State,29,7,22,.241,4,6,3,16,2089,2451
Cornell,26,16,10,.615,10,2,6,8,2140,1976
Creighton,29,18,11,.621,12,2,4,6,2199,1975
Dartmouth,27,9,18,.333,6,5,3,11,1911,1945
Davidson,28,14,14,.500,7,7,5,6,1980,1943
Dayton,29,19,10,.655,13,2,5,5,2002,1767
Delaware,31,16,15,.516,10,5,4,10,2161,2173
Delaware State,27,6,21,.222,4,6,2,14,1750,2030
Denver,31,15,16,.484,9,5,4,11,2257,2319
DePaul,29,9,20,.310,7,7,2,11,2070,2225
Detroit Mercy,31,13,18,.419,8,5,5,12,2380,2347
Drake,31,24,7,.774,14,1,6,6,2345,2008
Drexel,30,16,14,.533,12,3,3,9,2003,1879
Duke,29,21,8,.724,15,0,3,6,2093,1854
Duquesne,29,19,10,.655,15,4,3,6,2176,2021
East Carolina,28,14,14,.500,9,6,2,7,1933,1976
East Tennessee State,31,12,19,.387,7,9,4,9,2154,2139
Eastern Illinois,31,9,22,.290,6,9,3,12,2134,2235
Eastern Kentucky,31,19,12,.613,13,2,5,9,2407,2253
Eastern Michigan,29,8,21,.276,6,7,2,11,2105,2332
Eastern Washington,30,22,8,.733,11,1,9,6,2312,2124
Elon,31,8,23,.258,5,9,3,12,2043,2218
Evansville,31,5,26,.161,3,10,1,14,1939,2335
Fairfield,29,12,17,.414,6,6,4,10,1868,1893
Fairleigh Dickinson,31,17,14,.548,8,5,8,8,2427,2355
Florida,29,14,15,.483,9,5,3,7,2078,1994
Florida A&M,27,7,20,.259,4,6,3,14,1572,1879
Florida Atlantic,29,26,3,.897,17,0,9,3,2279,1891
Florida Gulf Coast,31,17,14,.548,8,5,6,9,2225,2161
Florida International,29,13,16,.448,11,7,2,9,2097,2163
Florida State,29,9,20,.310,5,10,4,6,2033,2219
Fordham,29,23,6,.793,17,2,6,4,2094,1968
Fresno State,28,10,18,.357,6,7,4,8,1721,1803
Furman,31,24,7,.774,14,2,8,3,2547,2204
Gardner-Webb,30,15,15,.500,8,5,6,10,2116,1955
George Mason,29,17,12,.586,13,2,3,7,2026,1963
George Washington,29,15,14,.517,11,5,4,6,2222,2224
Georgetown,30,7,23,.233,5,12,1,10,2118,2321
Georgia,29,16,13,.552,13,3,1,9,2004,2079
Georgia Southern,31,16,15,.516,12,4,3,11,2142,2077
Georgia State,30,10,20,.333,10,9,0,11,1992,2069
Georgia Tech,29,12,17,.414,11,6,1,9,1990,2045
Gonzaga,30,25,5,.833,14,1,7,2,2623,2217
Grambling,27,19,8,.704,9,1,8,6,1858,1701
Grand Canyon,29,18,11,.621,14,4,3,5,2154,1903
Green Bay,31,3,28,.097,2,10,1,16,1841,2370
Hampton,31,8,23,.258,7,6,1,13,2119,2381
Hartford,28,5,23,.179,5,10,0,11,1757,1991
Harvard,27,14,13,.519,5,7,8,5,1832,1771
Hawaii,30,21,9,.700,13,5,5,3,2006,1841
High Point,30,14,16,.467,10,5,2,11,2242,2320
Hofstra,31,23,8,.742,11,1,10,5,2299,2034
Holy Cross,31,10,21,.323,6,9,4,10,2067,2251
Houston,29,27,2,.931,15,2,10,0,2207,1621
Houston Christian,30,10,20,.333,8,7,2,13,2349,2488
Howard,29,17,12,.586,11,2,5,8,2167,2127
Idaho,30,10,20,.333,6,9,4,11,2206,2177
Idaho State,30,11,19,.367,7,7,4,11,2067,2102
Illinois,29,19,10,.655,14,2,3,6,2151,1901
Illinois State,31,11,20,.355,8,7,3,9,2065,2180
Illinois-Chicago,31,12,19,.387,7,8,3,11,2092,2218
Incarnate Word,30,12,18,.400,7,7,3,12,2130,2209
Indiana,29,20,9,.690,14,1,5,7,2190,1959
Indiana State,31,20,11,.645,11,4,7,6,2439,2136
Iona,29,22,7,.759,10,1,7,4,2203,1890
Iowa,29,18,11,.621,14,2,3,7,2331,2159
Iowa State,28,17,11,.607,13,2,2,8,1912,1735
IUPUI,31,5,26,.161,4,9,0,14,2025,2389
Jackson State,28,10,18,.357,6,2,4,14,1905,2111
Jacksonville,29,13,16,.448,7,6,6,10,1837,1816
Jacksonville State,31,13,18,.419,9,5,3,12,2166,2178
James Madison,31,21,10,.677,11,3,8,6,2517,2099
Kansas,29,24,5,.828,14,1,7,3,2217,1977
Kansas City,31,11,20,.355,6,8,3,11,1999,2126
Kansas State,29,22,7,.759,15,1,4,6,2183,1971
Kennesaw State,31,23,8,.742,12,1,10,6,2345,2140
Kent State,29,23,6,.793,13,0,9,6,2186,1867
Kentucky,29,20,9,.690,14,3,5,4,2175,1950
La Salle,29,13,16,.448,8,7,5,7,2033,2120
Lafayette,31,9,22,.290,4,7,4,15,1904,2013
Lamar,30,9,21,.300,6,9,2,11,2044,2247
Lehigh,29,16,13,.552,9,5,7,8,2030,2011
Liberty,31,24,7,.774,16,1,6,5,2335,1866
Lindenwood,31,11,20,.355,9,4,2,14,2161,2278
Lipscomb,31,19,12,.613,13,2,6,10,2367,2193
Little Rock,31,10,21,.323,8,5,2,16,2337,2461
Long Beach State,30,16,14,.533,8,5,6,8,2287,2213
Long Island University,28,3,25,.107,2,10,1,14,1859,2228
Longwood,31,20,11,.645,12,3,8,8,2273,2038
Louisiana,30,23,7,.767,14,0,7,7,2373,2131
Louisiana State,29,13,16,.448,10,7,0,8,1948,2030
Louisiana Tech,29,13,16,.448,8,5,4,11,2107,2018
